"Title","Author","Description","Pages","Publication year","Publisher","Category","Subcategory","Price"
"2500 مسألة محلولة في المعادلات التفاضلية","ريتشارد برونسون","تغطي هذه المجموعة من المسائل المحلولة الطرائق التحليلية لحل المعادلات التفاضلية. والهدف الرئيسي منها أن تكون بمثابة ملحق للمساقات التقليدية في الع ادلات التفاضلية وأن تقدم العون ككتاب مرجعي للمهندسين والعلماء والمهتمين بتطبيقات معينة، ولا يتطلب فهم محتويات عرضادلات التفاضلية وأن تقدم العون ككتاب مرجعي للمهندسين والعلماء والمهتمين بتطبيقات معينة، ولا يتطلب فهم محتويات","500","1985","المؤسسة الجامعية للدراسات والنشر والتوزيع","0000001000000","الرياضيات","9.38"
"30 طريقة للتسويق الإلكتروني","أسامة حمدي","لا يمتلك بعض الأشخاص مهارة كتابة تعليق كما أن الأمر يحتاج إلي وقت وجهد من الأشخاص الذين لديهم هذة المهارة لذا فالكتاب يسر ذلك الأمر سواء كنت من هذ ا الفريق أو ذاك عبر كتابة 30 طريقة للتسويق الإلكتروني عبر التعليقات. عرضا الفريق أو ذاك عبر كتابة 30 طريقة للتسويق الإلكتروني عبر التعليقات.","64","2017","دار الأيام للنشر و التوزيع","0000000000100","التسويق","56.25"
"3000 مسألة محلولة في الدوائر الكهربائية","سيد نصر","يحتوي هذا الكتاب على أكمل مجموعة من أسئلة الامتحانات في السوق اليوم وأكثرها توخيا للدقة. وعند استخدام هذا الكتاب ينبغي على الطالب بالطبع التركيز ع لى المجال الأضعف لديه-تحويل ""لابلاس"" أو أي شيء آخر، لكن عليه ألا يهمل العمل على المسائل التي تشتمل على المواد عرضلى المجال الأضعف لديه-تحويل ""لابلاس"" أو أي شيء آخر، لكن عليه ألا يهمل العمل على المسائل التي تشتمل على المواد","768","2018","نور للنشر","0000001000000","الفيزياء","138.13"
"3000 مسألة محلولة في حساب التفاضل والتكامل","إليوت مندلسون","3000 مسألة محلولة وتغطي هذه المجموعة من المسائل المحلولة حساب التفاضل والتكامل والابتدائي والمتوسط ومعظم حساب التفاضل والتكامل المتقدم، والهدف من  ذلك تقديم أوسع مجال من المسائل التي يحتمل أن يواجهها الطالب، بدءاً من تلك القديمة المكررة وانتهاء بالنماذج ال عرضذلك تقديم أوسع مجال من المسائل التي يحتمل أن يواجهها الطالب، بدءاً من تلك القديمة المكررة وانتهاء بالنماذج ال","512","2003","دار الكتاب الجديد","0000001000000","الرياضيات","52.5"
"33 استراتيجية للحرب","روبرت غرين","هذا الكتاب الذي صدر باللغة العربية ليتمكن من قراءته متذوقو هذا الفن في العالم العربي، كل فصل فيه هو كناية عن استراتيجية تهدف إلى حل مشكلة محددة ست واجه أي شخص غالباً، مشكلات كهذه تتضمن القتال مع جيش يقف وراءك من دون أن يملك الحافز، هدر الطاقة في القتال على عرضواجه أي شخص غالباً، مشكلات كهذه تتضمن القتال مع جيش يقف وراءك من دون أن يملك الحافز، هدر الطاقة في القتال على","677","2017","مكتبة العبيكان","0000000100000","العلوم السياسية","64.02"
"33 صلاة في جوف الحوت","يوسف رقة","نص ينقل بعض الواقعية وبشكل ملحمي من أحداث جرت، قد يعتقد البعض أنها خيالية لأنها أحداث فوق عادية في حياة البشر الطبيعية.  عرض","94","2017","دار المؤلف للنشر والطباعة والتوزيع","0000000000001","المسرحيات","50.63"
"40 حديثاً في خير النبيين","إسماعيل حريري","إن أصل علم الحديث فى الإسلام هو أقواله صلى الله عليه وسلم، وأفعاله، ونوه، ويقظته، وحركاته، وسكوته، وقيامه، وجوده، واجتهاده، وعبادته، وسير ته، وسر  اياه ومغازيه، وجده وخطبه، وكتبه، وعيوده، ومواثيقه، وكل ما روي عنه عليه الصلاة والسلام كما يقول الحاكم النيساب عرضاياه ومغازيه، وجده وخطبه، وكتبه، وعيوده، ومواثيقه، وكل ما روي عنه عليه الصلاة والسلام كما يقول الحاكم النيساب","56","2003","عالم الكتب للطباعة والنشر والتوزيع","0000000000010","الحديث وعلومه","30.0"
"50 فكرة يجب أن تعرفها عن فيزياء الكم","جواني باكر","مر تاريخ فيزياء الكم بالكثير من التحولات و التغيرات لما تحتوية من ظواهر غريبة . فقد احتار العديد من الشخصيات الشهيرة -بداية من ألبرت أينشتاين حتي  ريتشارد فاينمان في تحديد مكونات الذرة و طبيعة القوي خلال القرن الماضي عرضريتشارد فاينمان في تحديد مكونات الذرة و طبيعة القوي خلال القرن الماضي","312","2014","دار دجلة ناشرون وموزعون","0000001000000","الفيزياء","56.25"
"7 أخطاء يرتكبها الأزواج تقتل الحب","باتريسيا دولاهي","كل شيىء يكون على ما يرام في فترة الخطوبة لان الحبيبين يظهران افضل ما لديهما ! ثم يجمعهما سقف واحد و مشروع واحد في اطار الزواج و فجاة تبدأ المشاكل  و ارتكاب الاخطاء. عرضو ارتكاب الاخطاء.","192","2011","دار الفراشة للطباعة والنشر والتوزيع / الأردن","0000010000000","شؤون المرأة","10.69"
"78سؤالاً مهماً على كل قيادي أن يطرحها و يجيب عنها","كريس كلارك ، إبستين","تقدم ""كريس كلارك- ابستين"" كثابأ هلما في فن الإدارة جاء تحت عنوان ""78 سؤالا مهما على كل قيادي أن يطرحها ويجيب عنها"" فيو دليلا سهما للقادة الناجحين  وبخاصة ""المديرين التنفيذيين"" في الشركات ليصبحوا قادة اكثر كفاءة ولكن ماذا يعني مفهوم القيادة؟ ""إن مفهوم القيا عرضوبخاصة ""المديرين التنفيذيين"" في الشركات ليصبحوا قادة اكثر كفاءة ولكن ماذا يعني مفهوم القيادة؟ ""إن مفهوم القيا","214","2013","دار وائل للنشر والتوزيع","0000000000100","إدارة الأعمال","67.5"
"آثار تحرير التجارة الخارجية في مصر - تحليل باستخدام نموذج توازن عام","فؤاد عارف","يتناول هذا الكتاب تحليل آثار تحرير التجارة الخارجية في مصر من خلال تخفيض التعريفة الجمركية و التحرير الكامل للتجارة، وتحرير سعر الصرف، وتخفيض الضر ائب غير المباشرة على أهم المؤشرات الاقتصادية مع إجراء عدة تجارب محاكاة لحساب أثر التغير في هذه السياسات، ويعتمد هذا التحليل على استخدام الاسلوب التحليلي الذي يعتمد على النظرية الاقتصادية في الجانب النظري، إلى جانب المنهج الكمي والقياسي في الجزء التطبيقي حيث تم استخدام نموذج تطبيقي للتوازن العام (CGE) لاختبار سياسات التجارة الخارجية و قياس آثار تغيرها على أداء متغيرات الاقتصاد القومي. كما تناول الكتاب مناقشة تحرير التجارة في إطار صندوق النقد الدولي وكذلك في إطار اتفاقات جولة أوروجواي - منظمة التجارة العالمية، كما ناقش ايضا دور اهداف اتفاقية الجات 1994 في تحرير التجارة الدولية. وكذلك تعرض الكتاب إلى دراسة مشكلة اختلال التوازن الاقتصادي الخارجي موضحا معالم هذا الاختلال و استمرار ظاهرة العجز في الميزان التجاري وميزان المدفوعات وبعض اجراءات العلاج لهذا الميزان في جمهورية مصر العربية. عرضائب غير المباشرة على أهم المؤشرات الاقتصادية مع إجراء عدة تجارب محاكاة لحساب أثر التغير في هذه السياسات، ويعتمد هذا التحليل على استخدام الاسلوب التحليلي الذي يعتمد على النظرية الاقتصادية في الجانب النظري، إلى جانب المنهج الكمي والقياسي في الجزء التطبيقي حيث تم استخدام نموذج تطبيقي للتوازن العام (CGE) لاختبار سياسات التجارة الخارجية و قياس آثار تغيرها على أداء متغيرات الاقتصاد القومي. كما تناول الكتاب مناقشة تحرير التجارة في إطار صندوق النقد الدولي وكذلك في إطار اتفاقات جولة أوروجواي - منظمة التجارة العالمية، كما ناقش ايضا دور اهداف اتفاقية الجات 1994 في تحرير التجارة الدولية. وكذلك تعرض الكتاب إلى دراسة مشكلة اختلال التوازن الاقتصادي الخارجي موضحا معالم هذا الاختلال و استمرار ظاهرة العجز في الميزان التجاري وميزان المدفوعات وبعض اجراءات العلاج لهذا الميزان في جمهورية مصر العربية.","272","2016","نور للنشر","0000000100000","العلوم السياسية","288.2"
"آخر الأصدقاء لامرأة جميلة","مصطفى الموسى","إن لم يَكُنْ بإمكانِك أن تشرب المرحَ والحزنَ في كأسٍ واحدةٍ مع قطعة ثلجٍ لروحٍ هائمة.. وإن شعرتَ أن ليس لديكَ ما يكفي من الحب لِتحترق، أو من الذكر ياتِ ما يكفي لتؤرخ لِجُرحٍ غائِرٍ في البلا. وحين تظُنُّ أن الدَهشةَ فارقتكَ بِلا وداع.. حينئذٍ اقرأ مصطفى تا عرضياتِ ما يكفي لتؤرخ لِجُرحٍ غائِرٍ في البلا. وحين تظُنُّ أن الدَهشةَ فارقتكَ بِلا وداع.. حينئذٍ اقرأ مصطفى تا","136","2017","دار فضاءات للنشر والتوزيع","0000000000001","القصص","6.3"
"آخر دليل ستحتاج إليه للبحث عن الفرص","مكتبة جريرu200e","القليل منا لديه كل هذه التوقعات. وقد تعلم بوب بيرد أسرار التوقع الفعال. وها هو يقدم اليك الآن أساليبه المؤكدة والمختبرة زمنيا وفي هذا الدليل الرائ ع يبين للمبتدئين والمحترفين على حد سواء كيف يحتمعون بفعالية وبلاتعب المتقدمين للوظائف المؤهلين ومن خلال استعانتك بهذا الكتاب سوف تتعلم بالضبط كيف تنمي التوقعات التجارية التي لطالما كنت تريدها. عرضع يبين للمبتدئين والمحترفين على حد سواء كيف يحتمعون بفعالية وبلاتعب المتقدمين للوظائف المؤهلين ومن خلال استعانتك بهذا الكتاب سوف تتعلم بالضبط كيف تنمي التوقعات التجارية التي لطالما كنت تريدها.","112","1999","دار مجدلاوي للنشر والتوزيع","0000000000100","إدارة الأعمال","46.88"
"آداب الجنائز","سليم اللبابيدي","هذه رسالة في ""آداب الجنائز"" أوضح المؤلف شرع الله وما على المسلم فعله من قبل الوفاة وفي مرض الموت إلى ما بعد الوفاة والعدة. وبشكل مختصر عمد فيها إل ى الأحاديث المعتمدة في هذا الباب وإلى ما أجمع عليه جمهور الفقهاء دون خلل في الجوهر عرضى الأحاديث المعتمدة في هذا الباب وإلى ما أجمع عليه جمهور الفقهاء دون خلل في الجوهر","56","2012","مركز نماء للبحوث والدراسات","0000000000010","الفقه وأصوله","71.25"
"آداب قرآنية وأحكام شرعية في سورة الحجرات","محمود حمودة","في هذا الكتاب دراسة تفصيلية فيما تضمنته سورة الحجرات من آداب ربانية اسلامية سواء كانت هذه الاداب مع الله ورسوله او فيما بين المؤمن واخوانه المؤمني ن مع الكثير من آيات أخرى موزعة في القران الكريم فيها دلالات بينات وواضحات واحكام فقهية حيث توسعت في الاستنباط عرضن مع الكثير من آيات أخرى موزعة في القران الكريم فيها دلالات بينات وواضحات واحكام فقهية حيث توسعت في الاستنباط","374","2000","مؤسسة الوراق للنشر والتوزيع / الأردن","0000000000010","التشريع","48.75"
"آدم سميث؛ قراءة في اقتصاد السوق","كامل وزنه","آدم سميث هو مؤسس علم الاقتصاد الحديث، وروائد الليبرالية الاقتصادية.يتناول هذا الكراس أهم الأفكار التي قدمها سميث في كتابه الشهير ""ثروة الأ مم"" ويقارن ذلك بمن جاء بعده وخاصة جون مينارد كينز، إضافة إلى إطلالة مختصرة على اقتصاد المعرفة. عرضمم"" ويقارن ذلك بمن جاء بعده وخاصة جون مينارد كينز، إضافة إلى إطلالة مختصرة على اقتصاد المعرفة.","64","2019","دار النفائس للنشر والتوزيع / الأردن","0000000000100","الاقتصاد","56.25"
"آفاق الفكر السياسي عند الشيخ الطوسي","محمد موسويان","هذا الكتاب جزء من سلسلة تحاول استشراق الرؤى السياسية لدى بعض فقهائنا الكبار، ويأتي على رأس هؤلاء الإمام الشيخ أبو جعفر محمد بن الحسن الطوسي (385-4 60هـ) وهو مجتهد كبير من كبار المجتهدين المجددين في القرن الخامس الهجرى وما تلاه. وتهدف دراسة الفكر السياسي، عرض60هـ) وهو مجتهد كبير من كبار المجتهدين المجددين في القرن الخامس الهجرى وما تلاه. وتهدف دراسة الفكر السياسي،","153","2004","دار الغدير للدراسات والنشر","0000000100000","السياسة العربية","11.25"
"آفاق علمية ورؤى نقدية في الثقافة والاجتماع والإدارة واللسانيات وفلسفة المنهج","عبد الله  الشهري","يقدم الباحث في هذا الكتاب نموذجاً جاداً وموضوعياً في التحليل والمناقشة على المستوى النظري والتطبيقي، فهو يسعى بأسلوب واقعي ومتميز إلى تحديد المشكل ات التي تعوق تكوين مجتمع ذي مهارة عالية وإيجاد الحلول العملية المناسبة لها من خلال وضع الاستراتيجيات الملائم عرضات التي تعوق تكوين مجتمع ذي مهارة عالية وإيجاد الحلول العملية المناسبة لها من خلال وضع الاستراتيجيات الملائم","181","2013","دار نينوى للدراسات والنشر والتوزيع","0001000000000","النقد الفني","28.13"
"آل عثمان و آل هابسبورگ","محمد الرفاعي","كان من أشد المدافعين عن العالم النصراني الغربي في العصور الوسطى مملكة المجر والنمسا متمثلة بقلبها النابض مملكة آل هابسبورگ وذلك أمام الزحف الإسلام ي الحاشد في العُمق الأورپي مُتمثلا في السلطنة العثمانية  فحرّضت الصفويين على مهاجمة السلطنة من الخلف ، وتحالفت مع القياصرة الروس بحربهم ضد السلطنة بالرغم من تهديدىم البعيد للمصالح الغربية، من أجل تخفيف هذا الإندفاع وذلك بفتح جبهتين حربيتين في آن واحد  فالسلطنة العثمانية التي هددت العاصمة النمساوية مرتين ، لكن المشيئة الربانية لم تأذن بسقوطها وإلاّ لكان قد تغيير مسار التاريخ الأورپي. عرضي الحاشد في العُمق الأورپي مُتمثلا في السلطنة العثمانية ... فحرّضت الصفويين على مهاجمة السلطنة من الخلف ، وتحالفت مع القياصرة الروس بحربهم ضد السلطنة بالرغم من تهديدىم البعيد للمصالح الغربية، من أجل تخفيف هذا الإندفاع وذلك بفتح جبهتين حربيتين في آن واحد ... فالسلطنة العثمانية التي هددت العاصمة النمساوية مرتين ، لكن المشيئة الربانية لم تأذن بسقوطها وإلاّ لكان قد تغيير مسار التاريخ الأورپي.","140","2018","نور للنشر","0000000100000","العلوم السياسية","215.09"
"آليات الإستدلال الكلامي العقلية وتأصيلها القرآني عند الإمام الغزالي","عبد الحميد مؤمن","سعى لأتخاذ نموذ الإمام ( أبي حامد الغزالي) لاستقراء الأسس والتأصيلات القرآنية ضمن آليات استدلاله الكلامية العقلية  عرض","440","2000","دار ابن حزم للطباعة والنشر والتوزيع","0000000000010","القرآن وعلومه","11.25"
"آه يا عطر الليل","أمل حويجة","أشكرُ صداقتك يا قمر! كنتَ الليلةَ خيرَ صديق. زهوتُ بك. ولا أُخفيك، عندما كنتُ على المنصَّة، شيءٌ ما في داخلي كانَ يتغيَّر، الجمهورُ يراقبني ويتابع ني بدهشةٍ وأنا كنتُ أتغيَّر، خطواتي ذابتْ مع أشعَّتِك وظلالك! وسلحفاةٌ تنافسُ أرنباً لأنها وقعت في حبِّه، ووج عرضني بدهشةٍ وأنا كنتُ أتغيَّر، خطواتي ذابتْ مع أشعَّتِك وظلالك! وسلحفاةٌ تنافسُ أرنباً لأنها وقعت في حبِّه، ووج","100","2016","دار ممدوح عدوان للنشر والتوزيع","0000000000001","المسرحيات","11.25"
"آيات الاعجاز العلمي من وحي الكتاب والسنة","عبد الرحمن سعد صبي الدين","إن معجزة القرآن الكريم مستمرة إلى يوم القيامة وهذا الإعجاز يتجلى في أمور كثيرة، إعجاز في نظمه وبلاغته وإعجاز في قصصه وإخباره وإعجازه في شرائعه وأح كامه وفي شتى المجالات،ومن إعجازه ما انطوى عليه من الأخبار بالغيبيات التي ستقع ولم تكن معهودة وقت التنزيل، وما أشار إليه من حقائق مبثوثة في أرجاء الكون الفسيح علوه وسفليه تجلّت في عصرنا الحاضر بعد تقدم وسائل العلم وكشوفاته في الأنفس والآفاق التي توافقت مع نصوص القرآن والسنة.ونحن في هذا الكتاب في رحلة بين بعض الآيات القرآنية والأحاديث الشريفة التي أخبرنا الله تعالى من خلالها الكثير من الحقائق العلمية في كل العلوم.فمن أحبّ أن يعرف نبأ السابقين فليقرأ القرآن، ومن أحب أن يدرك الحقيقة الحاضرة فسيجدها في هذا القرآن،ومن أراد أن يبحر إلى عالم المستقبل فعليه أن يفتح قلبه أمام هذا القرآن. عرضكامه وفي شتى المجالات،ومن إعجازه ما انطوى عليه من الأخبار بالغيبيات التي ستقع ولم تكن معهودة وقت التنزيل، وما أشار إليه من حقائق مبثوثة في أرجاء الكون الفسيح علوه وسفليه تجلّت في عصرنا الحاضر بعد تقدم وسائل العلم وكشوفاته في الأنفس والآفاق التي توافقت مع نصوص القرآن والسنة.ونحن في هذا الكتاب في رحلة بين بعض الآيات القرآنية والأحاديث الشريفة التي أخبرنا الله تعالى من خلالها الكثير من الحقائق العلمية في كل العلوم.فمن أحبّ أن يعرف نبأ السابقين فليقرأ القرآن، ومن أحب أن يدرك الحقيقة الحاضرة فسيجدها في هذا القرآن،ومن أراد أن يبحر إلى عالم المستقبل فعليه أن يفتح قلبه أمام هذا القرآن.","381","2018","دار الكتب العلمية","0000000000010","القرآن وعلومه","112.51"
